FKName	ParentTable	ParentColumns	RefTable	RefColumns
FK_Activitys_Usuario	dbo.Activitys	UsuarioId	dbo.AspNetUsers	Id
FK_AspNetRoleClaims_AspNetRoles_RoleId	dbo.AspNetRoleClaims	RoleId	dbo.AspNetRoles	Id
FK_AspNetUserClaims_AspNetUsers_UserId	dbo.AspNetUserClaims	UserId	dbo.AspNetUsers	Id
FK_AspNetUserLogins_AspNetUsers_UserId	dbo.AspNetUserLogins	UserId	dbo.AspNetUsers	Id
FK_AspNetUserRoles_AspNetRoles_RoleId	dbo.AspNetUserRoles	RoleId	dbo.AspNetRoles	Id
FK_AspNetUserRoles_AspNetUsers_UserId	dbo.AspNetUserRoles	UserId	dbo.AspNetUsers	Id
FK_AspNetUsers_CadastroEquipes	dbo.AspNetUsers	EquipeId	dbo.CadastroEquipes	Id
FK_AspNetUsers_Organizacoes	dbo.AspNetUsers	OrganizacaoId	dbo.Organizacoes	Id
FK_AspNetUserTokens_AspNetUsers_UserId	dbo.AspNetUserTokens	UserId	dbo.AspNetUsers	Id
FK_AtividadesDiarias_AspNetUsers	dbo.AtividadesDiarias	UsuarioId	dbo.AspNetUsers	Id
FK_ClientContacts_Clients_ClientID	dbo.ClientContacts	ClientID	dbo.Clients	Id
FK_Clients_AreaAtuacaos_AreaAtuacaoID	dbo.Clients	AreaAtuacaoID	dbo.AreaAtuacaos	Id
FK_Clients_AspNetUsers_UsuarioId	dbo.Clients	UsuarioId	dbo.AspNetUsers	Id
FK_Clients_FaseVendas_FaseVendaID	dbo.Clients	FaseVendaID	dbo.FaseVendas	Id
FK_Clients_MotivoConclusaoVendas_MotivoConclusaoVendaID	dbo.Clients	MotivoConclusaoVendaID	dbo.MotivoConclusaoVendas	Id
FK_Clients_PreLeadId	dbo.Clients	PreLeadId	dbo.PreLeads	Id
FK_ControlesJuridicos_Clients_ClientId	dbo.ControlesJuridicos	ClientId	dbo.Clients	Id
FK_ControlesJuridicos_StatusJuridicos_StatusJuridicoId	dbo.ControlesJuridicos	StatusJuridicoId	dbo.StatusJuridicos	Id
FK_ControlesJuridicos_TipoJuridico_TipoJuridicoId	dbo.ControlesJuridicos	TipoJuridicoId	dbo.TipoJuridico	Id
FK_DetalhesControleJuridico_ControlesJuridicos_ControleJuridicoId	dbo.DetalhesControleJuridico	ControleJuridicoId	dbo.ControlesJuridicos	Id
FK_DocumentosClientes_Clients	dbo.DocumentosClientes	ClientsId	dbo.Clients	Id
FK_DocumentosClientes_StatusPropostas	dbo.DocumentosClientes	StatusId	dbo.StatusPropostas	Id
FK_DocumentosClientes_TipoJuridicos	dbo.DocumentosClientes	TipoDocumentoId	dbo.TipoJuridico	Id
FK_DocumentosClientes_UsuarioUploads	dbo.DocumentosClientes	UsuarioUploadId	dbo.AspNetUsers	Id
FK_EventosProspeccao_CardsProspeccao	dbo.EventosProspeccao	CardProspeccaoId	dbo.CardsProspeccao	Id
FK_HistoricoPreLead_PreLead	dbo.HistoricoPreLead	PreLeadId	dbo.PreLeads	Id
FK_HistoricoPreLeads_AspNetUsers	dbo.HistoricoPreLeads	UsuarioId	dbo.AspNetUsers	Id
FK_HistoricoPreLeads_PreLeads	dbo.HistoricoPreLeads	PreLeadId	dbo.PreLeads	Id
FK_IAProcessamentoLog_Reuniao	dbo.IAProcessamentoLog	ReuniaoId	dbo.Reunioes	Id
FK_LogDetalhe_LogService	dbo.LogDetalheDesativacao	LogBackgroundServiceId	dbo.LogBackgroundService	Id
FK_Participantes_Reunioes_ReuniaoId	dbo.Participantes	ReuniaoId	dbo.Reunioes	Id
FK_PassosCadenciaIa_Caso	dbo.PassosCadenciaIa	CasoCadenciaIaId	dbo.CasosCadenciaIa	Id
FK_PosVendaClientes_Clients_ClientID	dbo.PosVendaClientes	ClientID	dbo.Clients	Id
FK__PreLeadAs__PreLe__569ECEE8	dbo.PreLeadAssociacaoUsuario	PreLeadId	dbo.PreLeads	Id
FK__PreLeadAs__Usuar__55AAAAAF	dbo.PreLeadAssociacaoUsuario	UsuarioId	dbo.AspNetUsers	Id
FK_PreLeads_AspNetUsers	dbo.PreLeads	UsuarioId	dbo.AspNetUsers	Id
FK_PreLeads_StatusPreLeads	dbo.PreLeads	StatusPreLeadId	dbo.StatusPreLeads	Id
FK_ReuniaoBackgroundProcessamentoLog_Reunioes_ReuniaoId	dbo.ReuniaoBackgroundProcessamentoLog	ReuniaoId	dbo.Reunioes	Id
FK_ReuniaoIntegracaoLog_Reunioes_ReuniaoId	dbo.ReuniaoIntegracaoLog	ReuniaoId	dbo.Reunioes	Id
FK_Skills_CategoriaSkills_CategoriaSkillId	dbo.Skills	CategoriaSkillId	dbo.CategoriaSkills	Id
FK_Tarefas_AspNetUsers	dbo.Tarefas	UsuarioID	dbo.AspNetUsers	Id
FK_Tarefas_ClientContacts	dbo.Tarefas	ClientContactId	dbo.ClientContacts	Id
FK_Tarefas_Clients	dbo.Tarefas	ClientID	dbo.Clients	Id
FK_Tarefas_TipoTarefas	dbo.Tarefas	TipoTarefaID	dbo.TipoTarefas	Id
FK_Vagas_AspNetUsers_UsuarioId	dbo.Vagas	UsuarioId	dbo.AspNetUsers	Id
FK_VagasSkills_Senioridades_SenioridadeId	dbo.VagasSkills	SenioridadeId	dbo.Senioridades	Id
FK_VagasSkills_Skills_SkillId	dbo.VagasSkills	SkillId	dbo.Skills	Id
FK_VagasSkills_Vagas_VagaId	dbo.VagasSkills	VagaId	dbo.Vagas	Id
